Label,Request
GROCERY_PICKUP,I need someone to pick up groceries
MEDICATION_PICKUP,I need medication
MEDICATION_PICKUP,Can someone pick up my medication
MEDICATION_PICKUP,Medication pickup
MEDICATION_PICKUP,Pickup required medication
GROCERY_PICKUP,Can someone pick up my groceries?
GROCERY_PICKUP,Can someone deliver groceries?
GROCERY_PICKUP,I need food from the shop
GROCERY_PICKUP,I don't have any food
GROCERY_PICKUP,I have run out of food
MEDICATION_PICKUP,I have run out of medications
MEDICATION_PICKUP,I am running out of pills
MEDICATION_PICKUP,I am running out of drugs
LONELY,I am feeling lonely
LONELY,I need someone to talk to
LONELY,Do you have someone who I can talk to
TECH_HELP,I need someone to help with my computer
TECH_HELP,My tablet isn't working
TECH_HELP,My computer isn't working
DOG_WALKING,Can someone walk my dog?
DOG_WALKING,Walking my dog
DOG_WALKING,My pet needs a walk
GROCERY_PICKUP,Can someone pick up some groceries for me?
GROCERY_PICKUP,I need food I need groceries
GROCERY_PICKUP,I am having trouble getting out for groceries
GROCERY_PICKUP,Can someone deliver a food bag?
GROCERY_PICKUP,Kai bag delivery
LONELY,I don't have anyone to talk to in my community
LONELY,Can someone call me I would like a chat
LONELY,Can anyone contact me?
LONELY,I am unable to speak to anyone during the lockdown, can someone give me a call?
LONELY,Lockdown means I can't get out to speak to anyone
LONELY,I am quite lonely and can't speak to anyone, could someone contact me?
DOG_WALKING,I can't get out to walk my dog, can someone help me?
DOG_WALKING,My dog needs a walk but I am unable to get out
TECH_HELP,My computer is broken can someone help
TECH_HELP,My internet connection is not working
TECH_HELP,My iPad is broken